代码	名称	涨幅%	现价	涨跌	涨速%	开盘%	开盘换手Z	量比	涨跌数	涨停数	跌停数	3日涨幅%	总金额	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	开盘昨比%	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	
880710	种业	4.86	1909.53	88.52	0.05	-0.03	          0.05	  1.35	13|0	1	0	2.99	925462.63	3788.44	         10.23	         13.31	          2.28	          0.82	8757.04	68460.47	   0.83	0.66	1	-0.02	2.87	5.17	10.95	14.29	
880903	水产品	3.17	697.15	21.39	-0.01	2.43	          0.21	  2.02	9|3	1	0	1.49	532939.44	10422.26	          9.89	         13.90	          2.21	          0.56	4873.57	44883.39	   0.89	3.48	2	0.30	1.57	1.21	1.68	0.96	
880672	存储芯片	2.47	2340.99	56.37	0.00	-0.13	          0.02	  1.16	133|39	7	0	0.18	19846460.00	111643.53	          4.56	          6.58	          2.28	          2.09	187550.92	921531.19	   0.20	0.72	1	-1.03	2.85	-1.83	4.16	21.49	
880643	Web3概念	2.23	1883.50	41.06	0.00	0.07	          0.05	  0.85	60|5	4	0	-1.31	3097930.50	35151.13	          3.63	          5.14	          2.59	          0.64	33257.68	87455.84	   0.11	1.05	1	-2.39	-1.13	-2.76	-4.73	3.59	
880726	MCU芯片	2.09	1381.13	28.34	0.04	0.09	          0.01	  1.05	73|17	3	0	-0.80	6827446.00	30639.79	          2.32	          3.59	          1.91	          0.79	54157.72	332908.53	   0.12	0.56	1	-1.45	1.00	-3.36	-1.01	11.39	
880794	远程办公	1.78	1176.91	20.59	0.03	-0.10	          0.01	  0.72	29|8	3	0	-2.16	1465251.50	7593.49	          3.49	          5.18	          2.08	          0.50	12651.01	67195.06	   0.12	0.50	1	-2.85	-1.24	-2.33	-3.28	0.61	
880958	AI营销	1.77	927.56	16.12	0.02	-0.18	          0.04	  0.81	39|4	1	0	-2.28	2460008.75	22504.38	          4.26	          5.90	          2.76	          0.62	28105.32	25488.18	   0.04	0.82	1	-2.67	-3.15	-5.52	-12.61	-7.24	
880758	汽车芯片	1.75	1141.79	19.66	0.02	-0.26	          0.02	  1.00	92|27	3	1	-0.97	12006238.00	72043.29	          3.33	          4.79	          2.31	          1.49	114725.68	391175.78	   0.12	0.70	1	-1.52	1.06	-3.13	1.39	14.12	
880626	粮食概念	1.74	996.59	17.09	0.06	-0.19	          0.05	  1.10	37|10	1	1	1.14	1915964.38	13878.45	          6.48	         10.04	          2.30	          0.49	18248.09	58937.29	   0.20	0.90	1	-0.31	1.63	3.36	6.89	9.66	
880646	复合铜箔	1.67	1677.71	27.56	0.10	0.10	          0.04	  1.28	30|14	1	0	0.31	3305681.50	28645.80	          4.77	          8.23	          2.21	          0.77	30337.84	23656.35	   0.03	0.96	1	-0.50	4.83	-0.91	9.62	21.05	
880959	知识产权	1.64	1188.99	19.24	0.03	-0.08	          0.02	  0.85	42|9	2	0	-0.54	1226493.38	8466.12	          2.06	          3.53	          2.52	          0.31	12803.17	53292.03	   0.13	0.63	1	-1.54	0.18	-1.71	-2.54	4.62	
880550	PCB概念	1.62	2722.21	43.37	0.04	-0.18	          0.04	  1.08	126|59	3	0	-0.66	16378013.00	123821.71	          4.37	          6.93	          2.65	          1.52	179539.16	-129083.80	  -0.04	0.76	1	-0.82	3.89	-1.22	9.80	21.59	
880598	博彩概念	1.60	2865.61	45.14	0.01	-0.16	          0.02	  0.95	15|4	1	0	-1.40	555326.63	2899.03	          3.51	          4.94	          2.47	          0.41	5672.09	24723.21	   0.18	0.56	1	-1.51	-0.07	-1.33	-1.28	3.73	
880541	AI手机PC	1.55	1900.75	28.99	0.00	-0.13	          0.03	  0.94	44|19	1	0	-1.21	7182429.50	49083.15	          4.68	          6.83	          2.40	          1.36	71376.90	149473.89	   0.09	0.74	1	-1.17	1.40	-0.44	5.61	12.98	
880765	海洋经济	1.50	1407.43	20.81	0.01	1.65	          0.06	  1.25	39|23	3	0	-1.16	4703419.00	63613.74	          5.18	          9.02	          2.06	          0.64	40183.81	11261.75	   0.01	1.54	1	-1.24	-1.05	-4.50	3.74	20.39	
880967	数字货币	1.49	2059.04	30.18	0.01	0.61	          0.05	  1.00	78|19	1	0	-1.11	4215038.50	72751.44	          2.72	          3.96	          2.46	          0.41	42953.11	155236.86	   0.11	1.70	1	-2.63	-0.02	-1.20	-0.91	2.86	
880564	白酒概念	1.48	7309.58	106.47	0.01	-0.17	          0.01	  1.47	43|7	1	0	0.96	2633926.25	16780.50	          2.29	          4.15	          2.07	          0.43	22649.24	175252.02	   0.06	0.98	1	-0.08	1.76	-0.10	-4.94	-0.68	
880701	Sora概念	1.33	2008.26	26.29	0.03	-0.08	          0.02	  0.68	37|3	0	0	-2.45	1413163.50	11514.88	          2.88	          4.44	          3.07	          0.53	17922.46	3133.70	   0.01	0.65	1	-2.43	-2.83	-5.87	-7.67	2.24	
880692	短剧游戏	1.33	1358.98	17.78	0.03	-0.21	          0.04	  0.93	71|11	3	0	-1.11	3583177.00	38408.13	          3.18	          4.97	          2.74	          0.42	40609.38	38674.95	   0.04	0.96	1	-1.34	-0.93	-3.45	-7.52	8.50	
880621	NFT概念	1.29	1408.95	17.95	0.02	0.03	          0.04	  0.89	57|13	1	0	-1.55	2963063.50	37420.14	          2.73	          4.00	          2.77	          0.40	33897.47	78986.34	   0.09	1.19	1	-1.85	-1.02	-2.95	-5.72	5.32	
880609	跨境支付CIPS	1.28	1668.55	21.10	0.02	0.94	          0.01	  1.07	54|19	1	0	-0.71	4193452.75	71094.89	          0.34	          1.62	          2.30	          0.04	40036.76	210696.09	   0.02	1.77	1	-2.33	0.16	-0.79	-1.54	1.02	
880647	数据确权	1.26	1645.53	20.46	0.03	0.15	          0.04	  0.76	55|11	1	0	-1.69	2041902.25	24962.79	          2.34	          3.70	          3.12	          0.51	26350.39	35041.74	   0.06	1.11	1	-2.48	-0.74	-1.37	-1.88	1.47	
880613	电子身份证	1.16	1465.47	16.75	0.01	0.27	          0.02	  0.85	34|10	0	1	-1.88	842523.19	6587.03	          2.67	          3.92	          2.62	          0.44	9133.21	-4499.12	  -0.01	0.68	1	-2.80	-1.15	-2.37	-2.65	0.44	
880749	云游戏	1.15	1973.37	22.49	-0.02	-0.22	          0.04	  0.83	18|9	0	0	-1.70	2371994.50	26788.62	          3.71	          4.51	          2.16	          0.59	21197.21	-44698.93	  -0.07	0.98	1	-1.36	-1.11	-3.20	-4.33	12.49	
880682	华为海思	1.14	1733.77	19.59	0.00	-0.37	          0.02	  0.97	47|14	1	0	-2.22	3947414.75	21580.85	          3.90	          5.28	          2.73	          1.20	44594.38	64858.21	   0.05	0.58	1	-1.65	0.25	-3.18	2.87	11.31	
880659	毫米波雷达	1.12	2010.94	22.27	0.01	-0.25	          0.02	  0.91	84|38	1	0	-1.52	7686668.50	45842.61	          2.92	          4.38	          2.75	          0.96	87394.71	-16008.81	  -0.01	0.63	1	-1.10	1.44	-3.70	0.89	11.38	
880791	网红经济	1.12	1158.37	12.79	0.03	-0.12	          0.03	  0.97	95|24	3	0	-0.55	2417517.50	21795.81	          2.63	          3.88	          2.76	          0.28	27568.33	97056.62	   0.11	0.89	1	-0.79	0.05	-1.77	-6.43	2.26	
880635	先进封装	1.11	1987.54	21.88	0.01	-0.19	          0.02	  1.00	101|49	1	0	-1.75	15463399.00	99379.68	          4.41	          6.72	          2.52	          1.88	161107.16	-81156.09	  -0.02	0.67	1	-1.35	1.38	-3.15	4.34	21.31	
880566	AI眼镜	1.07	2317.55	24.58	0.02	-0.07	          0.02	  1.02	115|65	4	0	-0.94	13140209.00	89982.56	          3.30	          4.51	          2.33	          0.72	127087.41	-41211.09	  -0.01	0.70	1	-1.16	1.56	-1.35	2.57	8.31	
880668	知识付费	1.06	1270.97	13.38	0.03	-0.17	          0.01	  0.76	21|1	0	0	-1.60	480111.50	2890.74	          1.41	          2.84	          3.35	          0.29	6628.92	595.34	   0.00	0.45	1	-2.24	-0.47	-4.17	-1.88	7.21	
880760	预制菜	1.04	1180.52	12.12	0.04	0.27	          0.02	  1.10	85|20	2	0	0.13	1948381.75	19808.52	          2.02	          3.52	          2.21	          0.15	17879.86	-10451.51	  -0.01	1.01	1	-0.51	0.57	-0.12	-4.19	-2.21	
880960	仿制药	1.03	1286.45	13.08	0.03	0.08	          0.01	  0.89	57|12	2	0	0.28	1747492.25	12024.13	          1.24	          2.19	          2.05	          0.20	14866.84	-2062.03	  -0.00	0.69	1	-0.22	1.40	0.73	-2.12	-2.94	
880930	汽车电子	1.00	2911.02	28.85	0.03	-0.17	          0.02	  0.88	253|127	4	0	-1.54	27066946.00	165260.31	          2.93	          4.56	          2.48	          1.03	277625.25	311384.47	   0.04	0.65	1	-1.19	1.44	-1.91	2.35	10.78	
880969	无线耳机	0.98	2939.59	28.62	0.00	-0.21	          0.02	  0.87	65|26	1	0	-1.54	7652557.00	40695.08	          2.71	          4.26	          2.31	          0.90	73369.19	323668.78	   0.13	0.57	1	-1.27	1.19	-2.38	0.12	4.23	
880718	小红书概念	0.96	1354.28	12.93	0.03	-0.28	          0.04	  0.88	59|15	1	0	-1.68	2750269.00	25770.63	          4.02	          5.42	          2.82	          0.66	32034.20	8194.97	   0.01	0.89	1	-1.52	-1.50	-3.02	-5.83	9.68	
880590	网络游戏	0.94	1622.71	15.13	0.01	-0.16	          0.05	  0.96	73|27	2	1	-1.14	5586215.00	84287.48	          3.29	          4.65	          2.52	          0.46	58265.19	-134679.55	  -0.08	1.29	1	-1.12	-0.42	-2.85	-4.66	5.69	
880586	土地流转	0.94	1552.48	14.47	0.04	0.28	          0.07	  0.92	26|7	1	0	0.81	1832280.88	24370.21	          3.92	          6.34	          2.39	          0.30	18136.88	13376.56	   0.04	1.32	2	0.01	1.85	2.67	5.53	10.92	
880656	CPO概念	0.94	4862.61	45.13	0.02	-0.23	          0.03	  0.85	92|58	3	0	-2.03	25903632.00	179277.92	          3.63	          6.49	          2.67	          2.16	286577.47	87840.36	   0.01	0.69	1	-1.84	3.99	-1.05	11.17	25.42	
